repeat,fold,n_train,n_test,n_iter
0,0,455,114,17
0,1,455,114,20
0,2,455,114,17
0,3,455,114,19
0,4,456,113,20
1,0,455,114,16
1,1,455,114,16
1,2,455,114,19
1,3,455,114,20
1,4,456,113,18
2,0,455,114,17
2,1,455,114,18
2,2,455,114,21
2,3,455,114,18
2,4,456,113,19
3,0,455,114,20
3,1,455,114,16
3,2,455,114,17
3,3,455,114,20
3,4,456,113,18
4,0,455,114,17
4,1,455,114,15
4,2,455,114,19
4,3,455,114,21
4,4,456,113,17
5,0,455,114,20
5,1,455,114,20
5,2,455,114,18
5,3,455,114,19
5,4,456,113,16
6,0,455,114,17
6,1,455,114,19
6,2,455,114,18
6,3,455,114,19
6,4,456,113,16
7,0,455,114,19
7,1,455,114,18
7,2,455,114,20
7,3,455,114,19
7,4,456,113,19
8,0,455,114,17
8,1,455,114,20
8,2,455,114,19
8,3,455,114,17
8,4,456,113,17
9,0,455,114,15
9,1,455,114,19
9,2,455,114,20
9,3,455,114,20
9,4,456,113,19
10,0,455,114,21
10,1,455,114,18
10,2,455,114,17
10,3,455,114,19
10,4,456,113,19
11,0,455,114,17
11,1,455,114,21
11,2,455,114,20
11,3,455,114,19
11,4,456,113,17
12,0,455,114,17
12,1,455,114,18
12,2,455,114,20
12,3,455,114,18
12,4,456,113,20
13,0,455,114,17
13,1,455,114,19
13,2,455,114,18
13,3,455,114,17
13,4,456,113,17
14,0,455,114,14
14,1,455,114,20
14,2,455,114,17
14,3,455,114,22
14,4,456,113,20
15,0,455,114,17
15,1,455,114,20
15,2,455,114,16
15,3,455,114,19
15,4,456,113,19
16,0,455,114,20
16,1,455,114,18
16,2,455,114,18
16,3,455,114,16
16,4,456,113,20
17,0,455,114,17
17,1,455,114,20
17,2,455,114,19
17,3,455,114,18
17,4,456,113,20
18,0,455,114,20
18,1,455,114,16
18,2,455,114,20
18,3,455,114,20
18,4,456,113,17
19,0,455,114,17
19,1,455,114,20
19,2,455,114,18
19,3,455,114,19
19,4,456,113,17
20,0,455,114,18
20,1,455,114,18
20,2,455,114,19
20,3,455,114,19
20,4,456,113,17
21,0,455,114,18
21,1,455,114,20
21,2,455,114,19
21,3,455,114,18
21,4,456,113,16
22,0,455,114,20
22,1,455,114,19
22,2,455,114,17
22,3,455,114,18
22,4,456,113,16
23,0,455,114,17
23,1,455,114,21
23,2,455,114,19
23,3,455,114,18
23,4,456,113,17
24,0,455,114,19
24,1,455,114,20
24,2,455,114,18
24,3,455,114,19
24,4,456,113,18
25,0,455,114,17
25,1,455,114,17
25,2,455,114,20
25,3,455,114,18
25,4,456,113,17
26,0,455,114,18
26,1,455,114,21
26,2,455,114,20
26,3,455,114,17
26,4,456,113,18
27,0,455,114,18
27,1,455,114,20
27,2,455,114,15
27,3,455,114,20
27,4,456,113,21
28,0,455,114,19
28,1,455,114,17
28,2,455,114,20
28,3,455,114,17
28,4,456,113,21
29,0,455,114,19
29,1,455,114,21
29,2,455,114,21
29,3,455,114,16
29,4,456,113,16
30,0,455,114,18
30,1,455,114,15
30,2,455,114,19
30,3,455,114,17
30,4,456,113,19
31,0,455,114,19
31,1,455,114,20
31,2,455,114,18
31,3,455,114,18
31,4,456,113,17
32,0,455,114,22
32,1,455,114,18
32,2,455,114,16
32,3,455,114,16
32,4,456,113,19
33,0,455,114,18
33,1,455,114,20
33,2,455,114,16
33,3,455,114,18
33,4,456,113,18
34,0,455,114,18
34,1,455,114,20
34,2,455,114,20
34,3,455,114,16
34,4,456,113,16
35,0,455,114,17
35,1,455,114,19
35,2,455,114,18
35,3,455,114,19
35,4,456,113,20
36,0,455,114,17
36,1,455,114,18
36,2,455,114,20
36,3,455,114,18
36,4,456,113,16
37,0,455,114,20
37,1,455,114,18
37,2,455,114,18
37,3,455,114,19
37,4,456,113,17
38,0,455,114,20
38,1,455,114,16
38,2,455,114,18
38,3,455,114,21
38,4,456,113,17
39,0,455,114,16
39,1,455,114,19
39,2,455,114,17
39,3,455,114,20
39,4,456,113,18
40,0,455,114,18
40,1,455,114,18
40,2,455,114,19
40,3,455,114,20
40,4,456,113,16
41,0,455,114,17
41,1,455,114,18
41,2,455,114,20
41,3,455,114,16
41,4,456,113,20
42,0,455,114,17
42,1,455,114,19
42,2,455,114,21
42,3,455,114,20
42,4,456,113,19
43,0,455,114,19
43,1,455,114,18
43,2,455,114,17
43,3,455,114,21
43,4,456,113,20
44,0,455,114,20
44,1,455,114,19
44,2,455,114,16
44,3,455,114,17
44,4,456,113,18
45,0,455,114,18
45,1,455,114,19
45,2,455,114,18
45,3,455,114,18
45,4,456,113,20
46,0,455,114,16
46,1,455,114,16
46,2,455,114,18
46,3,455,114,17
46,4,456,113,18
47,0,455,114,15
47,1,455,114,22
47,2,455,114,19
47,3,455,114,19
47,4,456,113,18
48,0,455,114,18
48,1,455,114,19
48,2,455,114,19
48,3,455,114,20
48,4,456,113,19
49,0,455,114,19
49,1,455,114,19
49,2,455,114,20
49,3,455,114,19
49,4,456,113,17
