repeat,fold,n_train,n_test,n_estimators,fit_seconds
0,0,455,114,8000,4.859680916008074
0,1,455,114,8000,4.909687250008574
0,2,455,114,8000,4.860815166000975
0,3,455,114,8000,4.845488874998409
0,4,456,113,8000,4.8688161250029225
1,0,455,114,8000,4.856126208003843
1,1,455,114,8000,4.897869666980114
1,2,455,114,8000,4.864901624998311
1,3,455,114,8000,4.931213375006337
1,4,456,113,8000,4.8523894590034615
2,0,455,114,8000,4.829193790996214
2,1,455,114,8000,4.984937958011869
2,2,455,114,8000,4.984392084006686
2,3,455,114,8000,4.852116875001229
2,4,456,113,8000,4.995042541995645
3,0,455,114,8000,4.957829833001597
3,1,455,114,8000,4.985235208005179
3,2,455,114,8000,4.981082167010754
3,3,455,114,8000,5.062777499988442
3,4,456,113,8000,5.150449209002545
4,0,455,114,8000,4.873203750001267
4,1,455,114,8000,4.940474333008751
4,2,455,114,8000,4.893196541990619
4,3,455,114,8000,4.851061249995837
4,4,456,113,8000,4.833224208006868
5,0,455,114,8000,4.833460541995009
5,1,455,114,8000,4.865947832993697
5,2,455,114,8000,4.834328375000041
5,3,455,114,8000,4.864737333002267
5,4,456,113,8000,4.835298874997534
6,0,455,114,8000,4.835477499989793
6,1,455,114,8000,4.876846958009992
6,2,455,114,8000,4.838216083007865
6,3,455,114,8000,4.834893457998987
6,4,456,113,8000,4.832894999999553
7,0,455,114,8000,4.839651374990353
7,1,455,114,8000,4.835116625006776
7,2,455,114,8000,4.831647583981976
7,3,455,114,8000,4.83180195800378
7,4,456,113,8000,4.8354066659812815
8,0,455,114,8000,4.935482915985631
8,1,455,114,8000,4.83897045798949
8,2,455,114,8000,4.841376958996989
8,3,455,114,8000,4.830077458987944
8,4,456,113,8000,4.841970916022547
9,0,455,114,8000,4.830632083991077
9,1,455,114,8000,4.844184667017544
9,2,455,114,8000,4.921232249995228
9,3,455,114,8000,4.833179832989117
9,4,456,113,8000,4.990068540995708
10,0,455,114,8000,4.873244416987291
10,1,455,114,8000,4.8982150410010945
10,2,455,114,8000,4.896819917019457
10,3,455,114,8000,4.904201917001046
10,4,456,113,8000,4.857796083000721
11,0,455,114,8000,4.873204667004757
11,1,455,114,8000,4.8596985829935875
11,2,455,114,8000,4.852775625011418
11,3,455,114,8000,4.857945166004356
11,4,456,113,8000,4.856154459004756
12,0,455,114,8000,4.847850874997675
12,1,455,114,8000,4.849088165996363
12,2,455,114,8000,4.846674417000031
12,3,455,114,8000,4.838415416015778
12,4,456,113,8000,4.847877084015636
13,0,455,114,8000,4.847075792000396
13,1,455,114,8000,4.845186374994228
13,2,455,114,8000,4.852269958006218
13,3,455,114,8000,4.8319163749984
13,4,456,113,8000,4.84404216700932
14,0,455,114,8000,4.867178166983649
14,1,455,114,8000,4.845486916019581
14,2,455,114,8000,4.854851541982498
14,3,455,114,8000,4.851410667004529
14,4,456,113,8000,4.849680958024692
15,0,455,114,8000,4.838058000023011
15,1,455,114,8000,4.904015542007983
15,2,455,114,8000,4.850356249982724
15,3,455,114,8000,4.860557708016131
15,4,456,113,8000,4.859067292010877
16,0,455,114,8000,4.858281291992171
16,1,455,114,8000,4.857000666990643
16,2,455,114,8000,4.847719167009927
16,3,455,114,8000,4.85571291600354
16,4,456,113,8000,4.877806125005009
17,0,455,114,8000,4.853988333023153
17,1,455,114,8000,4.8531792080029845
17,2,455,114,8000,4.863001541001722
17,3,455,114,8000,4.840055208012927
17,4,456,113,8000,4.858730916981585
18,0,455,114,8000,4.846066458005225
18,1,455,114,8000,4.856807707983535
18,2,455,114,8000,4.841636708006263
18,3,455,114,8000,4.853637125022942
18,4,456,113,8000,4.847348167008022
19,0,455,114,8000,4.859526749991346
19,1,455,114,8000,4.845618749997811
19,2,455,114,8000,4.851854082982754
19,3,455,114,8000,4.846321416000137
19,4,456,113,8000,4.874950290977722
20,0,455,114,8000,4.864488082996104
20,1,455,114,8000,4.852523207984632
20,2,455,114,8000,4.8534298749873415
20,3,455,114,8000,4.842760583997006
20,4,456,113,8000,4.852905458013993
21,0,455,114,8000,4.85298604198033
21,1,455,114,8000,4.849839540984249
21,2,455,114,8000,4.842743582994444
21,3,455,114,8000,4.85885912500089
21,4,456,113,8000,4.842426457995316
22,0,455,114,8000,4.8375711670087185
22,1,455,114,8000,4.8597429169749375
22,2,455,114,8000,4.8641726250061765
22,3,455,114,8000,4.880621082993457
22,4,456,113,8000,4.84410458302591
23,0,455,114,8000,4.907255250000162
23,1,455,114,8000,4.857786707987543
