repeat,fold,n_train,n_test,n_estimators
0,0,455,114,8000
0,1,455,114,8000
0,2,455,114,8000
0,3,455,114,8000
0,4,456,113,8000
1,0,455,114,8000
1,1,455,114,8000
1,2,455,114,8000
1,3,455,114,8000
1,4,456,113,8000
2,0,455,114,8000
2,1,455,114,8000
2,2,455,114,8000
2,3,455,114,8000
2,4,456,113,8000
3,0,455,114,8000
3,1,455,114,8000
3,2,455,114,8000
3,3,455,114,8000
3,4,456,113,8000
4,0,455,114,8000
4,1,455,114,8000
4,2,455,114,8000
4,3,455,114,8000
4,4,456,113,8000
5,0,455,114,8000
5,1,455,114,8000
5,2,455,114,8000
5,3,455,114,8000
5,4,456,113,8000
6,0,455,114,8000
6,1,455,114,8000
6,2,455,114,8000
6,3,455,114,8000
6,4,456,113,8000
7,0,455,114,8000
7,1,455,114,8000
7,2,455,114,8000
7,3,455,114,8000
7,4,456,113,8000
8,0,455,114,8000
8,1,455,114,8000
8,2,455,114,8000
8,3,455,114,8000
8,4,456,113,8000
9,0,455,114,8000
9,1,455,114,8000
9,2,455,114,8000
9,3,455,114,8000
9,4,456,113,8000
10,0,455,114,8000
10,1,455,114,8000
10,2,455,114,8000
10,3,455,114,8000
10,4,456,113,8000
11,0,455,114,8000
11,1,455,114,8000
11,2,455,114,8000
11,3,455,114,8000
11,4,456,113,8000
12,0,455,114,8000
12,1,455,114,8000
12,2,455,114,8000
12,3,455,114,8000
12,4,456,113,8000
13,0,455,114,8000
13,1,455,114,8000
13,2,455,114,8000
13,3,455,114,8000
13,4,456,113,8000
14,0,455,114,8000
14,1,455,114,8000
14,2,455,114,8000
14,3,455,114,8000
14,4,456,113,8000
15,0,455,114,8000
15,1,455,114,8000
15,2,455,114,8000
15,3,455,114,8000
15,4,456,113,8000
16,0,455,114,8000
16,1,455,114,8000
16,2,455,114,8000
16,3,455,114,8000
16,4,456,113,8000
17,0,455,114,8000
17,1,455,114,8000
17,2,455,114,8000
17,3,455,114,8000
17,4,456,113,8000
18,0,455,114,8000
18,1,455,114,8000
18,2,455,114,8000
18,3,455,114,8000
18,4,456,113,8000
19,0,455,114,8000
19,1,455,114,8000
19,2,455,114,8000
19,3,455,114,8000
19,4,456,113,8000
20,0,455,114,8000
20,1,455,114,8000
20,2,455,114,8000
20,3,455,114,8000
20,4,456,113,8000
21,0,455,114,8000
21,1,455,114,8000
21,2,455,114,8000
21,3,455,114,8000
21,4,456,113,8000
22,0,455,114,8000
22,1,455,114,8000
22,2,455,114,8000
22,3,455,114,8000
22,4,456,113,8000
23,0,455,114,8000
23,1,455,114,8000
23,2,455,114,8000
23,3,455,114,8000
23,4,456,113,8000
24,0,455,114,8000
24,1,455,114,8000
24,2,455,114,8000
24,3,455,114,8000
24,4,456,113,8000
25,0,455,114,8000
25,1,455,114,8000
25,2,455,114,8000
25,3,455,114,8000
25,4,456,113,8000
26,0,455,114,8000
26,1,455,114,8000
26,2,455,114,8000
26,3,455,114,8000
26,4,456,113,8000
27,0,455,114,8000
27,1,455,114,8000
27,2,455,114,8000
27,3,455,114,8000
27,4,456,113,8000
28,0,455,114,8000
28,1,455,114,8000
28,2,455,114,8000
28,3,455,114,8000
28,4,456,113,8000
29,0,455,114,8000
29,1,455,114,8000
29,2,455,114,8000
29,3,455,114,8000
29,4,456,113,8000
30,0,455,114,8000
30,1,455,114,8000
30,2,455,114,8000
30,3,455,114,8000
30,4,456,113,8000
31,0,455,114,8000
31,1,455,114,8000
31,2,455,114,8000
31,3,455,114,8000
31,4,456,113,8000
32,0,455,114,8000
32,1,455,114,8000
32,2,455,114,8000
32,3,455,114,8000
32,4,456,113,8000
33,0,455,114,8000
33,1,455,114,8000
33,2,455,114,8000
33,3,455,114,8000
33,4,456,113,8000
34,0,455,114,8000
34,1,455,114,8000
34,2,455,114,8000
34,3,455,114,8000
34,4,456,113,8000
35,0,455,114,8000
35,1,455,114,8000
35,2,455,114,8000
35,3,455,114,8000
35,4,456,113,8000
36,0,455,114,8000
36,1,455,114,8000
36,2,455,114,8000
36,3,455,114,8000
36,4,456,113,8000
37,0,455,114,8000
37,1,455,114,8000
37,2,455,114,8000
37,3,455,114,8000
37,4,456,113,8000
38,0,455,114,8000
38,1,455,114,8000
38,2,455,114,8000
38,3,455,114,8000
38,4,456,113,8000
39,0,455,114,8000
39,1,455,114,8000
39,2,455,114,8000
39,3,455,114,8000
39,4,456,113,8000
40,0,455,114,8000
40,1,455,114,8000
40,2,455,114,8000
40,3,455,114,8000
40,4,456,113,8000
41,0,455,114,8000
41,1,455,114,8000
41,2,455,114,8000
41,3,455,114,8000
41,4,456,113,8000
42,0,455,114,8000
42,1,455,114,8000
42,2,455,114,8000
42,3,455,114,8000
42,4,456,113,8000
43,0,455,114,8000
43,1,455,114,8000
43,2,455,114,8000
43,3,455,114,8000
43,4,456,113,8000
44,0,455,114,8000
44,1,455,114,8000
44,2,455,114,8000
44,3,455,114,8000
44,4,456,113,8000
45,0,455,114,8000
45,1,455,114,8000
45,2,455,114,8000
45,3,455,114,8000
45,4,456,113,8000
46,0,455,114,8000
46,1,455,114,8000
46,2,455,114,8000
46,3,455,114,8000
46,4,456,113,8000
47,0,455,114,8000
47,1,455,114,8000
47,2,455,114,8000
47,3,455,114,8000
47,4,456,113,8000
48,0,455,114,8000
48,1,455,114,8000
48,2,455,114,8000
48,3,455,114,8000
48,4,456,113,8000
49,0,455,114,8000
49,1,455,114,8000
49,2,455,114,8000
49,3,455,114,8000
49,4,456,113,8000
